id,name,category,price,description
1,"Torba medyczna basic","torby",199.99,"Podstawowa torba ratownicza dla służb medycznych"
2,"Stetoskop kardiologiczny","sprzet_diagnostyczny",450.00,"Profesjonalny stetoskop do badań kardiologicznych"
3,"Ciśnieniomierz automatyczny","sprzet_diagnostyczny",89.99,"Automatyczny ciśnieniomierz naramienny"
4,"Termometr bezdotykowy","sprzet_diagnostyczny",129.00,"Termometr na podczerwień do pomiaru temperatury"
5,"Glukometr z test-paskami","diabetologia",159.99,"Glukometr do samodzielnej kontroli cukrzycy"
6,"Paski testowe do glukozy (50szt)","diabetologia",49.99,"Paski testowe kompatybilne z glukometrem"
7,"Insulin pen","diabetologia",79.99,"Wstrzykiwacz do insuliny wielokrotnego użytku"
8,"Bandaże elastyczne (5cm)","opatrunki",12.99,"Bandaże elastyczne do stabilizacji stawów"
9,"Gaza jałowa (10x10cm)","opatrunki",8.50,"Sterylne komprese gazowe do opatrywania ran"
10,"Plastry bakteriobójcze","opatrunki",15.99,"Plastry z warstwą antybakteryjną"
11,"Żel do dezynfekcji rąk","higiena",19.99,"Żel antybakteryjny na bazie alkoholu 70%"
12,"Rękawice nitrylowe (100szt)","higiena",29.99,"Jednorazowe rękawice nitrylowe bez pudru"
13,"Maseczki chirurgiczne (50szt)","higiena",24.99,"Jednorazowe maseczki chirurgiczne 3-warstwowe"
14,"Defibrylator AED","sprzet_ratowniczy",4500.00,"Automatyczny defibrylator zewnętrzny"
15,"Wózek ratowniczy","sprzet_ratowniczy",1299.99,"Profesjonalny wózek do transportu pacjentów"
16,"Apteczka pierwszej pomocy","apteczki",79.99,"Kompletna apteczka do samochodu zgodna z normami"
17,"Spirometr","sprzet_diagnostyczny",199.99,"Urządzenie do badania funkcji płuc"
18,"Pulsoksymetr","sprzet_diagnostyczny",89.99,"Pulsoksymetr do pomiaru saturacji krwi"
19,"Lampa badawcza LED","wyposazenie",349.99,"Mobilna lampa LED do badań medycznych"
20,"Strzykawki jednorazowe (100szt)","materialy_jednorazowe",19.99,"Strzykawki jednorazowe 5ml"
21,"Igły iniekcyjne","materialy_jednorazowe",12.99,"Igły jednorazowe różne rozmiary"
22,"Lancety do nakłuwania","diabetologia",18.99,"Lancety jednorazowe do pobierania krwi"
23,"Aspirator elektryczny","sprzet_ratowniczy",899.99,"Przenośny aspirator do odsysania wydzielin"
24,"Kołnierz ortopedyczny","ortopedia",39.99,"Stabilizator szyjny do unieruchomienia kręgosłupa"
25,"Mankiet uciskowy","sprzet_diagnostyczny",25.99,"Mankiet do pomiaru ciśnienia krwi"
26,"Latarka diagnostyczna","sprzet_diagnostyczny",29.99,"Latarka LED do badania źrenic"
27,"Nożyczki medyczne","narzedzia",19.99,"Nożyczki chirurgiczne ze stali nierdzewnej"
28,"Pinzeta chirurgiczna","narzedzia",15.99,"Pinzeta anatomijna prosta 12cm"
29,"Otoskop diagnostyczny","sprzet_diagnostyczny",159.99,"Otoskop do badania ucha z zestawem lejków"
30,"Torba lekarza rodzinnego","torby",299.99,"Skórzana torba lekarza z przegrodami" 
